05J0024373;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;37;5;1.648.678,45;14/10/2005;;;TR;;14;;Variável;;687;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-047;329.735,69;14/11/2005;
05J0024374;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;51;21;6.573.397,95;28/10/2005;;;TR;;14;;Variável;;701;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-062;313.018,95;28/11/2005;
05J0024375;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;30;6;2.022.003,24;07/10/2005;;;TR;;14;;Variável;;680;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-037;337.000,54;07/11/2005;
05J0024376;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;31;7;2.365.586,44;08/10/2005;;;TR;;14;;Variável;;681;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-038;337.940,92;08/11/2005;
05J0024377;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;32;7;2.353.048,95;09/10/2005;;;TR;;14;;Variável;;682;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-039;336.149,85;09/11/2005;
05J0024378;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;33;14;4.441.618,58;10/10/2005;;;TR;;14;;Variável;;683;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-040;317.258,47;10/11/2005;
05J0024379;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;39;9;2.908.499,40;16/10/2005;;;TR;;14;;Variável;;689;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-050;323.166,60;16/11/2005;
05J0024380;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;38;13;3.909.400,17;15/10/2005;;;TR;;14;;Variável;;688;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-049;300.723,09;15/11/2005;
05J0024381;AMBOS;03.767.538/0001-14;36.113.876/0001-91;1;35;685;205.741.044,65;11/10/2005;11/10/2025;11/04/2006;IPCA;;9,0284;360;Percentual variavel, periodos uniformes, sobre valor remanescente;BRBSCSCRI0W3;513;03.767.538/0001-14;Corporativo;Corporativo;Concentrado;Compra e Venda;Shopping / Lojas;Júnior;Pública;CRI/2005/064;300.351,89;11/11/2005;
05J0024382;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;34;8;2.623.048,48;11/10/2005;;;TR;;14;;Variável;;684;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-041;327.881,06;11/11/2005;
05J0024384;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;24;12;3.826.981,56;01/10/2005;;;TR;;14;;Variável;;674;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-031;318.915,13;01/11/2005;
05J0024385;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;25;7;2.292.003,42;02/10/2005;;;TR;;14;;Variável;;675;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-032;327.429,06;02/11/2005;
05J0024386;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;26;10;3.021.146,20;03/10/2005;;;TR;;14;;Variável;;676;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-033;302.114,62;03/11/2005;
05J0024387;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;35;6;2.008.420,86;12/10/2005;;;TR;;14;;Variável;;685;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-045;334.736,81;12/11/2005;
05J0024388;ANBIMA;02.105.040/0001-23;36.113.876/0001-91;2;36;8;2.599.246,16;13/10/2005;;;TR;;14;;Variável;;686;17.298.092/0001-30;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Apartamentos ou Casas;Série Única;Pública;CVM/SRE/CRI/2005-046;324.905,77;13/11/2005;
05J0024391;AMBOS;03.767.538/0001-14;36.113.876/0001-91;1;34;2.743;822.964.186,20;11/10/2005;11/10/2025;11/04/2006;IPCA;;9,0284;360;Percentual variavel, periodos uniformes, sobre valor remanescente;BRBSCSCRI0V5;513;03.767.538/0001-14;Corporativo;Corporativo;Concentrado;Compra e Venda;Shopping / Lojas;Sênior;Pública;CRI/2005/063;300.023,40;11/11/2005;
07F0006634;AMBOS;03.767.538/0001-14;36.113.876/0001-91;1;68;2;2.571.871,72;13/05/2007;13/02/2028;13/11/2007;IGP-M;;12,6825;360;Percentual variavel, periodos uniformes, sobre valor remanescente;BRBSCSCRI1U5;517;03.767.538/0001-14;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Loteamento;Júnior;Pública;CRI/2007/016;1.285.935,86;13/07/2007;
07F0006635;AMBOS;03.767.538/0001-14;36.113.876/0001-91;1;67;10;10.287.486,90;13/05/2007;13/02/2028;13/11/2007;IGP-M;;11,465;360;Percentual variavel, periodos uniformes, sobre valor remanescente;BRBSCSCRI1T7;517;03.767.538/0001-14;Pulverizado;Residencial;Pulverizado;Financiamento Imobiliário;Loteamento;Sênior;Pública;CRI/2007/015;1.028.748,69;13/07/2007;
